DATA,TEMP
1981-08-01,18.697432072949287
1981-09-01,19.493858831468785
1981-10-01,18.47841471435643
1981-11-01,14.317084901092079
1981-12-01,15.352439687167418
1982-01-01,19.692965521098653
1982-02-01,23.296796603399365
1982-03-01,24.96929279629029
1982-04-01,25.44714885140199
1982-05-01,22.599923189694806
1982-06-01,18.9960921073941
1982-07-01,18.21957601783759
1982-08-01,18.577968059171365
1982-09-01,18.39877203850448
1982-10-01,17.642166617910956
1982-11-01,16.069223769834966
1982-12-01,14.974136976870657
1983-01-01,17.243953238651212
1983-02-01,25.98473691340265
1983-03-01,25.68607687895784
1983-04-01,25.407327513476016
1983-05-01,25.327684837624062
1983-06-01,16.885561197317447
1983-07-01,19.89207221072853
1983-08-01,17.54261327309602
1983-09-01,19.394305486653845
